FIPS,MONTH,TMAX,TMIN,PRCP,YEAR,W_KEY
37019,02,55.3103448275862,34.41034482758621,5.169999999999999,2004,2302
37019,03,68.0225806451613,42.941935483870964,1.48,2004,2303
37019,04,72.84333333333333,51.54999999999998,1.66,2004,2304
37019,05,82.7967741935484,64.80645161290322,3.7099999999999986,2004,2305
37019,06,85.68333333333332,70.23333333333333,2.73,2004,2306
37019,07,88.16451612903226,72.06129032258063,6.549999999999999,2004,2307
37019,08,84.1225806451613,68.99032258064517,11.819999999999999,2004,2308
37019,09,81.3666666666667,66.49999999999999,5.6899999999999995,2004,2309
37019,10,75.41612903225808,55.658064516129045,1.7300000000000002,2004,2310
37019,11,68.21666666666668,45.063333333333325,2.82,2004,2311
37019,12,58.82580645161291,34.925806451612914,1.4900000000000002,2004,2312
37019,01,58.49354838709678,35.54838709677419,1.1600000000000001,2005,2313
37019,02,59.625,36.70357142857143,2.4499999999999997,2005,2314
37019,03,63.422580645161275,40.85483870967741,3.33,2005,2315
37019,04,72.58,48.78000000000001,3.4699999999999993,2005,2316
37019,05,77.13548387096775,56.37741935483873,4.869999999999999,2005,2317
37019,06,85.35999999999999,69.08333333333333,5.969999999999998,2005,2318
37019,07,90.8258064516129,74.36774193548388,4.529999999999999,2005,2319
37019,08,88.86129032258064,72.69354838709675,5.8199999999999985,2005,2320
37019,09,86.63666666666668,69.11666666666666,7.689999999999998,2005,2321
37019,10,76.1516129032258,56.403225806451616,12.749999999999998,2005,2322
37019,11,70.30000000000001,45.17333333333333,5.94,2005,2323
37019,12,57.283870967741926,34.53870967741936,3.8899999999999992,2005,2324
37019,01,63.06451612903226,39.68387096774194,2.5300000000000002,2006,2325
37019,02,57.550000000000004,35.04642857142857,3.09,2006,2326
37019,03,65.23870967741937,40.86451612903226,1.48,2006,2327
37019,04,77.60666666666667,51.88000000000001,3.99,2006,2328
37019,05,79.9741935483871,57.69032258064516,2.389999999999999,2006,2329
37019,06,85.21333333333334,66.77,8.949999999999996,2006,2330
